,file_name,x1,y1,w,h
0,kiwi_0.jpg,116.25,6.65,99.89,108.11
1,kiwi_0.jpg,78,94.53,119.17,103.69
2,kiwi_0.jpg,2.13,0.96,110.97,133.44
3,kiwi_1.jpg,5.87,20.35,132.09,135.62
4,kiwi_1.jpg,130.88,26.24,128.25,155.09
5,kiwi_10.jpg,5.65,9.69,221.62,293.1
6,kiwi_10.jpg,150.16,79.13,227.24,216
7,kiwi_100.jpg,144.77,91.62,58.38,58.68
8,kiwi_100.jpg,182.79,50.01,56.88,58.68
9,kiwi_100.jpg,166.32,8.09,55.69,51.5
10,kiwi_100.jpg,125.61,9.89,61.37,75.45
11,kiwi_100.jpg,77.1,97.61,57.49,60.48
12,kiwi_100.jpg,115.13,129.05,58.38,63.77
13,kiwi_100.jpg,95.37,54.2,52.69,57.48
14,kiwi_101.jpg,124.77,0.16,67.15,66.44
15,kiwi_101.jpg,168.61,0.16,76.54,43.83
16,kiwi_101.jpg,46.68,79.32,86.1,85.24
17,kiwi_101.jpg,12.76,38.73,99.73,81.47
18,kiwi_101.jpg,156.08,32.16,102.29,82.8
19,kiwi_103.jpg,113.75,29.24,161.36,143.1
20,kiwi_103.jpg,5.68,4.09,164.35,145.79
21,kiwi_105.jpg,7.01,77.73,100.32,62.77
22,kiwi_105.jpg,125.51,2.94,85.36,85.35
23,kiwi_105.jpg,156.02,89.46,91.22,84.77
24,kiwi_105.jpg,12.88,114.69,95.03,66.58
25,kiwi_105.jpg,17.28,28.16,91.81,71.28
26,kiwi_107.jpg,138.36,14.96,85.8,79.73
27,kiwi_107.jpg,33.51,73.6,85.5,86.08
28,kiwi_107.jpg,111.21,68.11,86.08,94.75
29,kiwi_109.jpg,194.75,419.06,249.48,196.96
30,kiwi_109.jpg,259.31,163.02,200.24,212.27
31,kiwi_109.jpg,105.02,233.05,212.28,211.18
32,kiwi_109.jpg,354.5,293.23,251.68,207.9
33,kiwi_11.jpg,139.75,76.43,140.2,140.65
34,kiwi_11.jpg,16.1,26.18,133.64,158.06
35,kiwi_11.jpg,247.98,23.61,166.48,183.12
36,kiwi_11.jpg,387.48,77.59,147.14,159.98
37,kiwi_113.jpg,88.17,25,83,84.59
38,kiwi_113.jpg,93.28,104.17,86.83,86.5
39,kiwi_113.jpg,157.13,52.45,98.31,106.94
40,kiwi_115.jpg,131.39,37.86,74.6,67.32
41,kiwi_115.jpg,141.5,100.44,73.02,67.33
42,kiwi_115.jpg,190.18,69.47,83.77,64.79
43,kiwi_115.jpg,53.63,66.94,89.14,79.97
44,kiwi_12.jpg,161.9,66.02,268.55,272.15
45,kiwi_12.jpg,482.71,66.02,266.74,263.14
46,kiwi_120.jpg,47.84,46.97,100.74,93.66
47,kiwi_120.jpg,134.42,39.57,95.58,93.98
48,kiwi_123.jpg,233.12,34.19,198.62,218.79
49,kiwi_124.jpg,30.85,108.69,192.44,161.43
